id,content,type,category
763,Do you prefer the beach or the mountains?,question,preferences
764,What advice would you give about crafts?,question,hypothetical
765,Have you ever been backpacking?,question,general
766,How important is libraries to you?,question,general
767,I've been evaluating my relationships,statement,general_statement
768,What's your goal with creativity?,question,food
769,What's your favorite loyalty?,question,preferences
770,What's surprising about reading?,question,general
771,What's your favorite time of day?,question,preferences
772,I'm contemplating minimalism,statement,thoughts_reflection
773,What's your goal with meditation?,question,general
774,How would you describe companionship?,question,hypothetical
775,What's challenging about courage?,question,general
776,How do you feel about curiosity?,question,opinions
777,What advice would you give about kindness?,question,hypothetical
778,How do you feel about wisdom?,question,opinions
779,I love the energy of cities,statement,personal_preferences
780,What advice would you give about podcasts?,question,hypothetical
781,What's interesting about singing?,question,general
782,How do you share meditation with others?,question,general
783,Tell me about change,statement,general_statement
784,How important is curiosity to you?,question,general
785,How do you stay motivated with goals?,question,general
786,What's your experience with family?,question,relationships
787,How would you describe goals?,question,hypothetical
788,What advice would you give about libraries?,question,hypothetical
789,What's your favorite podcast topic?,question,preferences
790,What's your experience with memories?,question,general
791,How would you describe friendship?,question,hypothetical
792,What's surprising about traditions?,question,general
793,What was your favorite playground activity?,question,preferences
794,What's your take on wonder?,question,general
795,I'm planning to learn cooking skills,statement,future_plans
796,What's rewarding about communities?,question,general
797,What's surprising about swimming?,question,general
798,I'm feeling quite nostalgic lately,statement,emotional_expression
799,I'm organizing my living space,statement,general_statement
800,How do you feel about patience?,question,opinions
801,Tell me about yoga,statement,general_statement
802,How do you stay motivated?,question,general
803,How do you stay motivated with gardening?,question,general
804,Tell me about balance,statement,general_statement
805,How has mountains influenced you?,question,general
806,What's your experience with routine?,question,daily_life
807,What do you think about kindness?,question,opinions
808,What's rewarding about art?,question,general
809,What's your experience with kindness?,question,general
810,How do you stay motivated with art?,question,general
811,How do you feel about parks?,question,opinions
812,What role does comfort play in your life?,question,general
813,What's your goal with museums?,question,general
814,What's your favorite learning?,question,preferences
815,What's your relationship with mountains?,question,relationships
816,What's surprising about balance?,question,general
817,How do you approach change?,question,general
818,What's your favorite parks?,question,preferences
819,What do you think about libraries?,question,opinions
820,Tell me about discovery,statement,general_statement
821,How do you approach loyalty?,question,general
822,What's surprising about spontaneity?,question,general
823,What's your goal with running?,question,general
824,What's interesting about learning?,question,general
825,What's your favorite type of bread?,question,preferences
826,Do you have a favorite restaurant?,question,preferences
827,What's rewarding about volunteering?,question,general
828,What's your take on discovery?,question,general
829,What's your favorite memories?,question,preferences
830,Tell me about books,statement,general_statement
831,What's your biggest fear?,question,general
832,How has solitude influenced you?,question,general
833,What's surprising about music?,question,entertainment
834,What's interesting about art?,question,general
835,How has comfort influenced you?,question,general
836,How do you approach curiosity?,question,general
837,What do you think about honesty?,question,opinions
838,What's your goal with gardening?,question,general
839,Do you prefer coffee or tea?,question,preferences
840,How important is risk to you?,question,general
841,What's your goal with spontaneity?,question,general
842,What's your favorite peace?,question,preferences
843,What role does growth play in your life?,question,general
844,I'm questioning some of my assumptions,statement,general_statement
845,What's surprising about libraries?,question,general
846,What advice would you give about pets?,question,hypothetical
847,I'm thinking about my future plans,statement,thoughts_reflection
848,What role does games play in your life?,question,general
849,What's your experience with learning?,question,general
850,How do you share comfort with others?,question,general
851,What's your take on music?,question,entertainment
852,What role does museums play in your life?,question,general
853,What's your experience with friendship?,question,relationships
854,Tell me about exercise,statement,general_statement
855,How do you share work with others?,question,career
856,I really enjoy problem-solving,statement,personal_preferences
857,How do you share balance with others?,question,general
858,Do you like seafood?,question,preferences
859,What's surprising about volunteering?,question,general
860,What's challenging about drawing?,question,general
861,Tell me about writing,statement,general_statement
862,What was your favorite family tradition?,question,preferences
863,What's your experience with beaches?,question,general
864,What's your relationship with adventure?,question,relationships
865,What's your take on dreams?,question,general
866,What's rewarding about companionship?,question,general
867,What's the best advice you've ever received?,question,general
868,What's your experience with writing?,question,general
869,What advice would you give about movies?,question,hypothetical
870,What's challenging about chess?,question,general
871,Tell me about family,statement,general_statement
872,I discovered a new restaurant yesterday,statement,daily_experience
873,What's your experience with communities?,question,general
874,I'm really content right now,statement,general_statement
875,What's challenging about spontaneity?,question,general
876,How important is chess to you?,question,general
877,I'm feeling a bit lonely,statement,emotional_expression
878,What's interesting about patience?,question,general
879,What's challenging about movies?,question,entertainment
880,How do you stay motivated with writing?,question,general
881,What do you think about cards?,question,opinions
882,What's your favorite thing about yourself?,question,preferences
883,What do you think about growth?,question,opinions
884,What's your take on loyalty?,question,general
885,What's your favorite animated movie?,question,preferences
886,What's your relationship with podcasts?,question,relationships
887,What's your experience with festivals?,question,general
888,What's rewarding about goals?,question,general
889,How do you approach independence?,question,general
890,What's your goal with volunteering?,question,general
891,What role does wonder play in your life?,question,general
892,I've been wondering about the meaning of success,statement,thoughts_reflection
893,How important is travel to you?,question,travel
894,What's interesting about cards?,question,general
895,What's your ideal work environment?,question,career
896,What's your relationship with movies?,question,entertainment
897,What's your experience with pets?,question,general
898,What's challenging about cycling?,question,general
899,What's challenging about sports?,question,general
900,What's your take on hiking?,question,general
901,What's your philosophy on work-life balance?,question,career
902,How do you stay motivated with family?,question,relationships
903,What's your favorite season activity?,question,preferences
904,What's your experience with puzzles?,question,general
905,What's your favorite exercise?,question,preferences
906,I woke up early today,statement,daily_experience
907,What's your favorite routine?,question,preferences
908,How do you feel about courage?,question,opinions
909,What's your biggest time waster?,question,general
910,I'm considering starting a side project,statement,thoughts_reflection
911,What's rewarding about innovation?,question,general
912,What do you think about traditions?,question,opinions
913,What's your experience with technology?,question,general
914,How do you share dreams with others?,question,general
915,What do you think about exercise?,question,opinions
916,What advice would you give about art?,question,hypothetical
917,How important is companionship to you?,question,general
918,What role does memories play in your life?,question,general
919,How do you feel about communities?,question,opinions
920,What's interesting about family?,question,relationships
921,How do you share exercise with others?,question,general
922,Are you more creative or analytical?,question,food
923,How do you approach exercise?,question,general
924,What do you think about artificial intelligence?,question,opinions
925,What's challenging about companionship?,question,general
926,How do you share games with others?,question,general
927,What's surprising about kindness?,question,general
928,What's surprising about growth?,question,general
929,What's interesting about running?,question,general
930,What's your relationship with curiosity?,question,relationships
931,What advice would you give about exercise?,question,hypothetical
932,How important is hiking to you?,question,general
933,I'm so relieved that's over,statement,emotional_expression
934,What's interesting about wonder?,question,general
935,What's your take on chess?,question,general
936,What's been keeping you busy?,question,general
937,How has learning influenced you?,question,general
938,What advice would you give about running?,question,hypothetical
939,How do you approach kindness?,question,general
940,What's rewarding about memories?,question,general
941,How important is technology to you?,question,general
942,I'm feeling really creative today,statement,emotional_expression
943,Tell me about memories,statement,general_statement
944,What's surprising about crafts?,question,general
945,How do you stay motivated with patience?,question,general
946,What's challenging about photography?,question,general
947,How do you approach wisdom?,question,general
948,"If you could have any job in the world, what would it be?",question,hypothetical
949,Tell me about volunteering,statement,general_statement
950,What's your experience with hobbies?,question,general
951,What's your goal with hobbies?,question,general
952,What's your goal with cooking?,question,food
953,What's challenging about museums?,question,general
954,I'm planning to declutter my life,statement,future_plans
955,How do you stay motivated with mountains?,question,general
956,What's something you're proud of?,question,general
957,What's your approach to handling change?,question,general
958,Do you like live theater?,question,preferences
959,What's your goal with cycling?,question,general
960,What's interesting about hiking?,question,general
961,What's surprising about patience?,question,general
962,What's your favorite wonder?,question,preferences
963,How would you describe work?,question,hypothetical
964,How would you describe movies?,question,hypothetical
965,What's your relationship with exercise?,question,relationships
966,How do you feel about discovery?,question,opinions
967,What advice would you give about hiking?,question,hypothetical
968,How has cities influenced you?,question,general
969,What's your favorite goals?,question,preferences
970,I made a difficult decision,statement,general_statement
971,I'm quite nervous about tomorrow,statement,emotional_expression
972,How do you approach innovation?,question,general
973,What's your goal with innovation?,question,general
974,What advice would you give about wonder?,question,hypothetical
975,Do you play any musical instruments?,question,entertainment
976,How do you feel about dreams?,question,opinions
977,What's rewarding about concerts?,question,general
978,"If you could eliminate one problem from the world, what would it be?",question,hypothetical
979,What's interesting about puzzles?,question,general
980,I really love rainy days,statement,personal_preferences
981,What role does parks play in your life?,question,general
982,What's challenging about honesty?,question,general
983,How has exercise influenced you?,question,general
984,What's challenging about risk?,question,general
985,What's rewarding about solitude?,question,general
986,What's your favorite vegetable?,question,preferences
987,What role does hobbies play in your life?,question,general
988,How would you describe art?,question,hypothetical
989,How do you share reading with others?,question,general
990,I want to challenge myself more,statement,future_plans
991,What's interesting about balance?,question,general
992,"If you could time travel, where would you go?",question,hypothetical
993,What's your favorite cycling?,question,preferences
994,How do you approach growth?,question,general
995,What's surprising about independence?,question,general
996,What's rewarding about reading?,question,general
997,What's challenging about books?,question,entertainment
998,What's surprising about running?,question,general
999,I'm feeling really grateful today,statement,emotional_expression
1000,How important is peace to you?,question,general
1001,"If you could change one thing about the world, what would it be?",question,hypothetical
1002,What's challenging about nature?,question,general
1003,What's your goal with exercise?,question,general
1004,What's your favorite way to treat yourself?,question,preferences
1005,Tell me about work,statement,general_statement
1006,What's your favorite type of accommodation when traveling?,question,preferences
1007,How important is routine to you?,question,daily_life
1008,What's rewarding about singing?,question,general
1009,What's the best concert you've ever been to?,question,general
1010,What's the kindest thing someone has done for you?,question,general
1011,What's your favorite way to celebrate?,question,preferences
1012,How has communities influenced you?,question,general
1013,I hope to develop stronger relationships,statement,future_plans
1014,What's interesting about spontaneity?,question,general
1015,How do you feel about cards?,question,opinions
1016,I had the best coffee today,statement,daily_experience
1017,What's your relationship with meditation?,question,relationships
1018,What advice would you give about mountains?,question,hypothetical
1019,What's your relationship with memories?,question,relationships
1020,What's surprising about mountains?,question,general
1021,What's your experience with gardening?,question,general
1022,How do you approach dreams?,question,general
1023,What do you think about independence?,question,opinions
1024,What's interesting about festivals?,question,general
1025,Tell me about comfort,statement,general_statement
1026,What's interesting about adventure?,question,general
1027,How do you share travel with others?,question,travel
1028,Are you into video games?,question,general
1029,What's your goal with cards?,question,general
1030,I'm hoping to develop my creativity,statement,future_plans
1031,What's your take on drawing?,question,general
1032,What's your favorite work?,question,preferences
1033,What's surprising about cards?,question,general
1034,What's your relationship with kindness?,question,relationships
1035,What's rewarding about wonder?,question,general
1036,How do you stay motivated with running?,question,general
1037,What's your take on gardening?,question,general
1038,How would you describe books?,question,hypothetical
1039,What's your take on comfort?,question,general
1040,Can you cook?,question,food
1041,What's your experience with chess?,question,general
1042,How do you stay motivated with beaches?,question,general
1043,What's rewarding about beaches?,question,general
1044,I'm feeling really inspired,statement,emotional_expression
1045,How do you approach writing?,question,general
1046,What's your goal with challenges?,question,general
1047,What's your favorite yoga?,question,preferences
1048,What's your favorite thing about your hometown?,question,preferences
1049,What's your favorite change?,question,preferences
1050,What advice would you give about work?,question,hypothetical
1051,Do you prefer city breaks or nature getaways?,question,preferences
1052,What's your approach to work-life balance?,question,career
1053,How do you approach games?,question,general
1054,What's interesting about traditions?,question,general
1055,What's your favorite patience?,question,preferences
1056,What's your biggest weakness?,question,general
1057,What's interesting about kindness?,question,general
1058,Did you have an imaginary friend?,question,relationships
1059,What's interesting about loyalty?,question,general
1060,What's surprising about discovery?,question,general
1061,What role does mountains play in your life?,question,general
1062,What's interesting about volunteering?,question,general
1063,What's rewarding about libraries?,question,general
1064,What do you think about cities?,question,opinions
1065,What's your relationship with honesty?,question,relationships
1066,How would you describe dancing?,question,hypothetical
1067,What's your goal with friendship?,question,relationships
1068,I'm having mixed feelings about this,statement,emotional_expression
1069,How has cooking influenced you?,question,food
1070,What's your ideal social gathering size?,question,relationships
1071,How important is gardening to you?,question,general
1072,How do you stay motivated with cities?,question,general
1073,What's your favorite time to be creative?,question,preferences
1074,Do you believe in ghosts?,question,opinions
1075,I hope to make a positive impact,statement,future_plans
1076,What's the best trip you've ever taken?,question,travel
1077,What's your ideal evening?,question,daily_life
1078,I slept really well last night,statement,general_statement
1079,What do you think about goals?,question,opinions
1080,What do you think about minimalism?,question,opinions
1081,What's your relationship with crafts?,question,relationships
1082,What's your take on honesty?,question,general
1083,How do you stay motivated with exercise?,question,general
1084,What do you think about podcasts?,question,opinions
1085,How do you approach adventure?,question,general
1086,Tell me about sports,statement,general_statement
1087,How has discovery influenced you?,question,general
1088,How has work influenced you?,question,career
1089,How would you describe chess?,question,hypothetical
1090,Tell me about routine,statement,general_statement
1091,What do you think about technology?,question,opinions
1092,What's your favorite books?,question,preferences
1093,How do you stay motivated with cooking?,question,food
1094,What's interesting about routine?,question,daily_life
1095,How would you describe libraries?,question,hypothetical
1096,What's your experience with balance?,question,general
1097,What role does patience play in your life?,question,general
1098,What's your relationship with singing?,question,relationships
1099,What's your favorite childhood book?,question,preferences
1100,How has creativity influenced you?,question,food
1101,What's your goal with concerts?,question,general
1102,What's challenging about swimming?,question,general
1103,What's the last book you read?,question,entertainment
1104,Tell me about happiness,statement,general_statement
1105,What's your take on swimming?,question,general
1106,What's your goal with cities?,question,general
1107,What role does dreams play in your life?,question,general
1108,Are you interested in astronomy?,question,general
1109,I'm a bit stressed about work,statement,emotional_expression
1110,What's rewarding about cooking?,question,food
1111,What advice would you give about spontaneity?,question,hypothetical
1112,How has chess influenced you?,question,general
1113,What's your favorite way to stay motivated?,question,preferences
1114,What do you think about peace?,question,opinions
1115,What's your experience with innovation?,question,general
1116,What's your goal with libraries?,question,general
1117,How do you stay motivated with kindness?,question,general
1118,What's your relationship with work?,question,relationships
1119,I've been reflecting on friendship,statement,thoughts_reflection
1120,What's your goal with courage?,question,general
1121,What do you think about social media?,question,opinions
1122,What's your take on mountains?,question,general
1123,What's your favorite solitude?,question,preferences
1124,How do you approach museums?,question,general
1125,What's interesting about creativity?,question,food
1126,What's your experience with games?,question,general
1127,Do you enjoy cleaning?,question,general
1128,What do you think about modern art?,question,opinions
1129,What's your favorite spontaneity?,question,preferences
1130,How important is puzzles to you?,question,general
1131,What advice would you give about cooking?,question,hypothetical
1132,What's your goal with nature?,question,general
1133,How do you feel about swimming?,question,opinions
1134,What's a social issue you care about?,question,relationships
1135,How do you stay motivated with challenges?,question,general
1136,What advice would you give about parks?,question,hypothetical
1137,How important is hobbies to you?,question,general
1138,How has gardening influenced you?,question,general
1139,How has loyalty influenced you?,question,general
1140,What do you think about cooking?,question,opinions
1141,What's your goal with reading?,question,general
1142,What's your favorite kindness?,question,preferences
1143,What's your go-to karaoke song?,question,general
1144,How do you stay motivated with cycling?,question,general
1145,What's rewarding about wisdom?,question,general
1146,What's your experience with patience?,question,general
1147,How do you share chess with others?,question,general
1148,What's your take on balance?,question,general
1149,What do you think about balance?,question,opinions
1150,How do you stay motivated with volunteering?,question,general
1151,What's your relationship with courage?,question,relationships
1152,I've been reflecting on my goals,statement,thoughts_reflection
1153,What's your experience with change?,question,general
1154,What's your relationship with companionship?,question,relationships
1155,How do you share books with others?,question,entertainment
1156,I've been wondering about technology's impact,statement,thoughts_reflection
1157,How do you approach cards?,question,general
1158,How do you share solitude with others?,question,general
1159,What's your relationship with gardening?,question,relationships
1160,How would you describe volunteering?,question,hypothetical
1161,How do you feel about volunteering?,question,opinions
1162,What's your goal with communities?,question,general
1163,I had a moment of clarity,statement,experiences
1164,How do you stay motivated with routine?,question,daily_life
1165,What's interesting about memories?,question,general
1166,I went on a hiking trip,statement,general_statement
1167,Tell me about gardening,statement,general_statement
1168,What role does beaches play in your life?,question,general
1169,What's surprising about pets?,question,general
1170,What's your take on cooking?,question,food
1171,I'm considering adopting a pet,statement,thoughts_reflection
1172,How would you describe patience?,question,hypothetical
1173,What's your favorite pizza topping?,question,preferences
1174,What's your take on change?,question,general
1175,How do you share libraries with others?,question,general
1176,How do you share music with others?,question,entertainment
1177,What's challenging about concerts?,question,general
1178,What's your favorite comfort?,question,preferences
1179,What's your relationship with wisdom?,question,relationships
1180,How would you describe adventure?,question,hypothetical
1181,I really value authenticity in people,statement,personal_preferences
1182,How do you stay motivated with libraries?,question,general
1183,How do you feel about movies?,question,opinions
1184,What's your relationship with art?,question,relationships
1185,How do you share happiness with others?,question,general
1186,What's your experience with drawing?,question,general
1187,What's your relationship with libraries?,question,relationships
1188,What's surprising about books?,question,entertainment
1189,What's challenging about crafts?,question,general
1190,What do you think about dancing?,question,opinions
1191,How do you approach work?,question,career
1192,What do you think about chess?,question,opinions
1193,What's challenging about pets?,question,general
1194,Do you enjoy grocery shopping?,question,general
1195,What's your favorite risk?,question,preferences
1196,What's rewarding about meditation?,question,general
1197,What's your experience with happiness?,question,general
1198,What role does solitude play in your life?,question,general
1199,How has courage influenced you?,question,general
1200,How would you describe innovation?,question,hypothetical
1201,What do you think about writing?,question,opinions
1202,What's your goal with comfort?,question,general
1203,How do you share companionship with others?,question,general
1204,What's your take on online shopping?,question,general
1205,What role does travel play in your life?,question,travel
1206,How do you approach traditions?,question,general
1207,How do you share discovery with others?,question,general
1208,What's surprising about challenges?,question,general
1209,How do you share hiking with others?,question,general
1210,How important is kindness to you?,question,general
1211,I hope to find more work-life balance,statement,future_plans
1212,What's your favorite singing?,question,preferences
1213,How has travel influenced you?,question,travel
1214,Tell me about singing,statement,general_statement
1215,How would you describe hiking?,question,hypothetical
1216,How do you stay motivated with photography?,question,general
1217,What role does crafts play in your life?,question,general
1218,What's interesting about swimming?,question,general
1219,What do you think about risk?,question,opinions
1220,Tell me about wonder,statement,general_statement
1221,How has beaches influenced you?,question,general
1222,How do you share courage with others?,question,general
1223,How has wisdom influenced you?,question,general
1224,I hope to become more patient,statement,future_plans
1225,What's surprising about courage?,question,general
1226,"If you could fly or breathe underwater, which would you choose?",question,hypothetical
1227,I finished a great book yesterday,statement,daily_experience
1228,What role does libraries play in your life?,question,general
1229,What's rewarding about courage?,question,general
1230,How do you feel about crafts?,question,opinions
1231,What advice would you give about peace?,question,hypothetical
1232,How has festivals influenced you?,question,general
1233,What's your favorite writing?,question,preferences
1234,What's your take on challenges?,question,general
1235,What's rewarding about running?,question,general
1236,How do you share puzzles with others?,question,general
1237,What's your relationship with learning?,question,relationships
1238,What do you think about hiking?,question,opinions
1239,How would you describe success?,question,hypothetical
1240,What's your relationship with parks?,question,relationships
1241,What's your preferred method of communication?,question,preferences
1242,How do you approach cycling?,question,general
1243,I started a new hobby,statement,experiences
1244,What's rewarding about change?,question,general
1245,What's rewarding about peace?,question,general
1246,How do you feel about art?,question,opinions
1247,Tell me about photography,statement,general_statement
1248,What's your relationship with success?,question,relationships
1249,How do you approach gardening?,question,general
1250,What's rewarding about yoga?,question,general
1251,What's your take on podcasts?,question,general
1252,What's your favorite discovery?,question,preferences
1253,What role does work play in your life?,question,career
1254,What's challenging about traditions?,question,general
1255,What's surprising about creativity?,question,food
1256,What's surprising about solitude?,question,general
1257,I had a reunion with old classmates,statement,experiences
1258,How do you share parks with others?,question,general
1259,What role does yoga play in your life?,question,general
1260,What's your take on reading?,question,general
1261,Do you prefer subtitles or dubbing for foreign films?,question,preferences
1262,What's your goal with routine?,question,daily_life
1263,How would you describe risk?,question,hypothetical
1264,What's interesting about crafts?,question,general
1265,What's the most interesting cultural experience you've had?,question,general
1266,How important is crafts to you?,question,general
1267,I've been thinking about what makes me happy,statement,emotional_expression
1268,"If you could have any superpower, what would it be?",question,hypothetical
1269,What's your favorite way to spend a rainy day?,question,preferences
1270,What was your least favorite chore as a child?,question,preferences
1271,What advice would you give about travel?,question,hypothetical
1272,How important is books to you?,question,entertainment
1273,How has drawing influenced you?,question,general
1274,How do you deal with difficult people?,question,general
1275,What's rewarding about crafts?,question,general
1276,What's your guilty pleasure?,question,general
1277,What's interesting about meditation?,question,general
1278,How do you stay motivated with hobbies?,question,general
1279,How do you feel about writing?,question,opinions
1280,What's your relationship with games?,question,relationships
1281,What role does movies play in your life?,question,entertainment
1282,What's rewarding about cards?,question,general
1283,How do you feel about creativity?,question,opinions
1284,How do you stay motivated with discovery?,question,general
1285,What's interesting about nature?,question,general
1286,How do you feel about puzzles?,question,opinions
1287,What's rewarding about technology?,question,general
1288,What's your take on family?,question,relationships
1289,What's your morning beverage of choice?,question,daily_life
1290,What's your take on singing?,question,general
1291,What's rewarding about exercise?,question,general
1292,What role does chess play in your life?,question,general
1293,How do you share communities with others?,question,general
1294,How do you approach singing?,question,general
1295,I really appreciate good design,statement,personal_preferences
1296,What do you think about drawing?,question,opinions
1297,I prefer texting over phone calls,statement,personal_preferences
1298,What's rewarding about photography?,question,general
1299,What's your take on friendship?,question,relationships
1300,What's your favorite day of the week?,question,preferences
1301,I'm trying to eat healthier,statement,general_statement
1302,I had a family reunion over the weekend,statement,daily_experience
1303,What advice would you give about balance?,question,hypothetical
1304,What do you think about wonder?,question,opinions
1305,What's your relationship with hiking?,question,relationships
1306,What's your relationship with routine?,question,relationships
1307,How important is concerts to you?,question,general
1308,What's your morning routine like?,question,preferences
1309,I plan to spend more time in nature,statement,general_statement
1310,Tell me about cooking,statement,general_statement
1311,What's your relationship with comfort?,question,relationships
1312,What advice would you give about singing?,question,hypothetical
1313,How has nature influenced you?,question,general
1314,What's your goal with wonder?,question,general
1315,How do you stay motivated with festivals?,question,general
1316,What role does peace play in your life?,question,general
1317,What's your relationship with loyalty?,question,relationships
1318,Tell me about creativity,statement,general_statement
1319,How do you define success?,question,general
1320,What advice would you give about games?,question,hypothetical
1321,What's surprising about nature?,question,general
1322,What's your relationship with dreams?,question,relationships
1323,I've been listening to this amazing podcast,statement,general_statement
1324,Tell me about challenges,statement,general_statement
1325,What's your take on courage?,question,general
1326,What's your experience with exercise?,question,general
1327,What's your experience with work?,question,career
1328,What do you think about hobbies?,question,opinions
1329,What role does gardening play in your life?,question,general
1330,What's rewarding about honesty?,question,general
1331,What's your favorite independence?,question,preferences
1332,What's your goal with music?,question,entertainment
1333,I'm contemplating a major life change,statement,thoughts_reflection
1334,What do you think about change?,question,opinions
1335,What's surprising about travel?,question,travel
1336,What's your favorite reading?,question,preferences
1337,How has swimming influenced you?,question,general
1338,What's your experience with concerts?,question,general
1339,How do you share mountains with others?,question,general
1340,What's challenging about technology?,question,general
1341,What's interesting about friendship?,question,relationships
1342,How do you feel about technology?,question,opinions
1343,What advice would you give about comfort?,question,hypothetical
1344,How has routine influenced you?,question,daily_life
1345,What role does success play in your life?,question,general
1346,What's rewarding about creativity?,question,food
1347,What do you think about crafts?,question,opinions
1348,What role does cooking play in your life?,question,food
1349,What do you think about volunteering?,question,opinions
1350,How would you describe mountains?,question,hypothetical
1351,How do you share routine with others?,question,daily_life
1352,What crafts do you enjoy?,question,general
1353,What's your take on puzzles?,question,general
1354,What's surprising about memories?,question,general
1355,How do you approach music?,question,entertainment
1356,What do you think about patience?,question,opinions
1357,How would you describe family?,question,hypothetical
1358,I want to improve my communication skills,statement,future_plans
1359,How important is traditions to you?,question,general
1360,What's your goal with success?,question,general
1361,What role does festivals play in your life?,question,general
1362,How do you stay motivated with music?,question,entertainment
1363,How do you feel about mountains?,question,opinions
1364,What's your goal with growth?,question,general
1365,What's your relationship with yoga?,question,relationships
1366,I really enjoy meaningful conversations,statement,personal_preferences
1367,What do you think about yoga?,question,opinions
1368,How important is dancing to you?,question,general
1369,What's interesting about podcasts?,question,general
1370,Do you prefer calling or texting?,question,preferences
1371,How do you share goals with others?,question,general
1372,Do you prefer indoor or outdoor activities?,question,preferences
1373,How do you share kindness with others?,question,general
1374,Have you ever been to a different country?,question,general
1375,What do you think about happiness?,question,opinions
1376,What do you think about museums?,question,opinions
1377,What's surprising about companionship?,question,general
1378,What's rewarding about gardening?,question,general
1379,Tell me about honesty,statement,general_statement
1380,How do you stay motivated with reading?,question,general
1381,Tell me about parks,statement,general_statement
1382,What role does art play in your life?,question,general
1383,What's your goal with mountains?,question,general
1384,What advice would you give about cycling?,question,hypothetical
1385,What's challenging about work?,question,career
1386,What's your experience with loyalty?,question,general
1387,What's challenging about cards?,question,general
1388,How important is podcasts to you?,question,general
1389,How do you share swimming with others?,question,general
1390,Do you like to binge-watch series?,question,preferences
1391,How do you feel about sports?,question,opinions
1392,How do you feel about concerts?,question,opinions
1393,I've been exercising more regularly,statement,general_statement
1394,What do you think about gardening?,question,opinions
1395,How do you stay motivated with spontaneity?,question,general
1396,What's surprising about gardening?,question,general
1397,Do you believe in fate or free will?,question,opinions
1398,What's your favorite happiness?,question,preferences
1399,How do you share cooking with others?,question,food
1400,What advice would you give about hobbies?,question,hypothetical
1401,How do you feel about chess?,question,opinions
1402,What's your goal with singing?,question,general
1403,How important is balance to you?,question,general
1404,How do you like to start your day?,question,preferences
1405,What's your relationship with change?,question,relationships
1406,"If you could speak any language fluently, which would it be?",question,hypothetical
1407,What's your dream vacation destination?,question,travel
1408,What's your experience with museums?,question,general
1409,What's rewarding about comfort?,question,general
1410,What's your favorite city?,question,preferences
1411,How do you share innovation with others?,question,general
1412,What's your experience with reading?,question,general
1413,What do you think about creativity?,question,opinions
1414,How has wonder influenced you?,question,general
1415,Do you believe in aliens?,question,opinions
1416,What's your go-to conversation starter?,question,general
1417,What's the furthest you've traveled from home?,question,travel
1418,What's your experience with solitude?,question,general
1419,How do you stay motivated with swimming?,question,general
1420,What's rewarding about discovery?,question,general
1421,How has meditation influenced you?,question,general
1422,What's rewarding about cities?,question,general
1423,How important is cycling to you?,question,general
1424,How do you approach meditation?,question,general
1425,What advice would you give about adventure?,question,hypothetical
1426,What's your experience with volunteering?,question,general
1427,How has music influenced you?,question,entertainment
1428,How important is cooking to you?,question,food
1429,What's challenging about happiness?,question,general
1430,What's your relationship with cycling?,question,relationships
1431,How do you approach movies?,question,entertainment
1432,What's the first thing you do when you get home?,question,general
1433,How do you stay motivated with curiosity?,question,general
1434,I prefer quiet evenings at home,statement,personal_preferences
1435,What's your favorite movies?,question,preferences
1436,I love discovering new music,statement,personal_preferences
1437,How do you usually spend your free time?,question,general
1438,I had a deep conversation with someone,statement,experiences
1439,How important is parks to you?,question,general
1440,What's your experience with honesty?,question,general
1441,What's your favorite beaches?,question,preferences
1442,How do you approach crafts?,question,general
1443,How do you stay motivated with nature?,question,general
1444,How has balance influenced you?,question,general
1445,I'm considering a digital detox,statement,thoughts_reflection
1446,What's your goal with honesty?,question,general
1447,I'm in such a good mood,statement,emotional_expression
1448,What do you think about swimming?,question,opinions
1449,How do you approach peace?,question,general
1450,What's your favorite libraries?,question,preferences
1451,How are you feeling today?,question,opinions
1452,What's your take on games?,question,general
1453,Tell me about podcasts,statement,general_statement
1454,What advice would you give about solitude?,question,hypothetical
1455,Do you like to try exotic foods?,question,preferences
1456,Tell me about friendship,statement,general_statement
1457,What's your relationship with friendship?,question,relationships
1458,What's your experience with challenges?,question,general
1459,How do you share spontaneity with others?,question,general
1460,What's your experience with spontaneity?,question,general
1461,What do you think about companionship?,question,opinions
1462,I'm feeling quite confident today,statement,emotional_expression
1463,How do you stay motivated with honesty?,question,general
1464,What's your relationship with swimming?,question,relationships
1465,What's your goal with technology?,question,general
1466,What's challenging about hobbies?,question,general
1467,How do you stay motivated with chess?,question,general
1468,How has memories influenced you?,question,general
1469,What's your experience with companionship?,question,general
1470,What's your favorite pets?,question,preferences
1471,What's your take on kindness?,question,general
1472,How do you feel about hobbies?,question,opinions
1473,How has singing influenced you?,question,general
1474,What's your experience with mountains?,question,general
1475,Do you like stand-up comedy?,question,preferences
1476,"If you could be invisible for a day, what would you do?",question,hypothetical
1477,What's surprising about exercise?,question,general
1478,What's your goal with traditions?,question,general
1479,Do you prefer traveling alone or with others?,question,preferences
1480,I want to develop better habits,statement,future_plans
1481,How do you approach beaches?,question,general
1482,Do you prefer sweet or savory snacks?,question,preferences
1483,What's challenging about goals?,question,general
1484,What's your goal with learning?,question,general
1485,How do you stay motivated with concerts?,question,general
1486,Did you have a favorite teacher?,question,preferences
1487,How important is art to you?,question,general
1488,I'm so excited about this weekend,statement,emotional_expression
1489,How do you feel about work?,question,opinions
1490,What's challenging about yoga?,question,general
1491,What's surprising about art?,question,general
1492,How would you describe routine?,question,hypothetical
